accession_number;gene_names;protein_names;ksmbr_number;kust_number
Q1PXF7;;Uncharacterized protein;;kustc1160
Q1PXF6;;Uncharacterized protein;;kustc1161
Q1PXF5;;Uncharacterized protein;;kustc1162
Q1PXF3;;N6_Mtase domain-containing protein;;kustc1164
Q1PXF2;;Uncharacterized protein;;kustc1165
Q1PXF1;;Uncharacterized protein;;kustc1166
Q1PXF0;;Uncharacterized protein;;kustc1167
Q1PXG8;;Uncharacterized protein;;kustc1168
Q1PXG6;;Hypothetical tetraheme cytochrome c protein;;kustc1170
Q1PXG3;;Uncharacterized protein;;kustc1173
Q1PXG0;;Uncharacterized protein;;kustc1176
Q1PXH6;;Universal stress protein;;kustc1180
Q1PXH5;metK;Strongly similar to S-adenosylmethionine synthetase (EC 2.5.1.6);;kustc1181
Q1PXH2;;Uncharacterized protein;;kustc1184
Q1PXH1;priA;Primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA);;kustc1185
Q1PXI7;;TPM_phosphatase domain-containing protein;;kustc1187
Q1PXI5;;Uncharacterized protein;;kustc1189
Q1PXI4;;Uncharacterized protein;;kustc1190
Q1PXI3;;Uncharacterized protein;;kustc1191
Q1PXI0;;PLDc_2 domain-containing protein;;kustc1194
Q1PXH9;nnrD;ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase);;kustc1195
Q1PXJ4;;Uncharacterized protein;;kustc1198 kustd1782 kuste4469
Q1PXJ3;tsaD;tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD);;kustc1199
Q1PXI9;;BFN domain-containing protein;;kustc1203
Q1PXK3;;Uncharacterized protein;;kustc1204
Q1PXK0;ubiX;Flavin prenyltransferase UbiX (EC 2.5.1.129);;kustc1207
Q1PXJ8;;Peptidase_S49 domain-containing protein;;kustc1209
Q1PXJ7;;Uncharacterized protein;;kustc1210
Q1PXJ5;;Uncharacterized protein;;kustc1212
Q1PXL1;;Uncharacterized protein;;kustc1214
Q1PXL0;;Uncharacterized protein;;kustc1215
Q1PXK9;;Uncharacterized protein;;kustc1216
Q1PXK7;;Uncharacterized protein;;kustc1218
Q1PXK6;mobB;Similar to molybdopterin-guanine dinucleotide biosynthesis protein B;;kustc1219
Q1PXK4;;Uncharacterized protein;;kustc1221
Q1PXM1;;Uncharacterized protein;;kustc1223
Q1PXM0;;Uncharacterized protein;;kustc1224
Q1PXL7;aspC;Similar to aspartate aminotransferase (EC 2.6.1.1);;kustc1227
Q1PXL6;leuDH;Strongly similar to leucine dehydrogenase (EC 1.4.1.9);;kustc1228
Q1PXL5;;Uncharacterized protein;;kustc1229
Q1PXL4;;Uncharacterized protein;;kustc1230
Q1PXL3;recQ;Strongly similar to ATP-dependent DNA helicase;;kustc1231
Q1PXN1;;Uncharacterized protein;;kustc1232
Q1PXM9;htrA;Strongly similar to serine protease (EC 3.4.21.-);;kustc1234
Q1PXM6;;Uncharacterized protein;;kustc1237
Q1PXM4;;CheX domain-containing protein;;kustc1239
Q1PXP0;cheA;Similar to chemotaxis histidine kinase (EC 2.7.3.-);;kustc1241
Q1PXN8;mcp;Strongly similar to Methyl-accepting chemotaxis protein;;kustc1243
Q1PXN4;cheR;Similar to chemotaxis protein methyltransferase (EC 2.1.1.80);;kustc1247
Q1PXP7;;Uncharacterized protein;;kustc1252
Q1PXP4;;Uncharacterized protein;;kustc1255
Q1PXP3;;Uncharacterized protein;;kustc1256
Q1PXP2;;Uncharacterized protein;;kustc1257
Q1PXQ2;;Similar to two-component sensor histidine kinase (EC 2.7.1.-);;kustc1259
Q1PXQ1;;Uncharacterized protein;;kustc1260
Q1Q0F9;;Uncharacterized protein;;kustd1262
Q1Q0F6;;ABC transporter domain-containing protein;;kustd1265
Q1Q0G8;;Uncharacterized protein;;kustd1269
Q1Q0G7;nikR;Putative nickel-responsive regulator;;kustd1270
Q1Q0G4;mgt;Magnesium transporter MgtE;;kustd1273
Q1Q0H8;;TPR_REGION domain-containing protein;;kustd1278
Q1Q0H7;;Uncharacterized protein;;kustd1279
Q1Q0H6;;HTH_33 domain-containing protein;;kustd1280 kuste3683 kuste3873
Q1Q0H5;;DDE_3 domain-containing protein;;kustd1281
Q1Q0H3;;Uncharacterized protein;;kustd1283
Q1Q0H2;;Uncharacterized protein;;kustd1284
Q1Q0H1;;DDE_Tnp_1 domain-containing protein;;kustd1285
Q1Q0H0;;Uncharacterized protein;;kustd1286
Q1Q0G9;;Rubredoxin-like domain-containing protein;;kustd1287
Q1PY83;;Uncharacterized protein;;kustd1288
Q1PY82;higB;Similar to plasmid encoded proteic killer toxin HigB;;kustd1289
Q1PY80;;Uncharacterized protein;;kustd1291
Q1PY77;;Uncharacterized protein;;kustd1294
Q1PY76;;Uncharacterized protein;;kustd1295
Q1PY75;;Uncharacterized protein;;kustd1296
Q1PY74;;Uncharacterized protein;;kustd1297
Q1PY93;cpo;Similar to chloroperoxidase (EC 1.11.1.10);;kustd1298
Q1PY92;;Uncharacterized protein;;kustd1299
Q1PY90;kat;Catalase (EC 1.11.1.6);;kustd1301
Q1PY87;;Uncharacterized protein;;kustd1304
Q1PY85;;Uncharacterized protein;;kustd1306
Q1PY84;;Uncharacterized protein;;kustd1307
Q1PYA2;;Uncharacterized protein;;kustd1308
Q1PYA1;;Uncharacterized protein;;kustd1309
Q1PY99;;Uncharacterized protein;;kustd1311
Q1PY98;;Uncharacterized protein;;kustd1312
Q1PY97;;BON domain-containing protein;;kustd1313
Q1PY96;;Uncharacterized protein;;kustd1314
Q1PY95;;Uncharacterized protein;;kustd1315
Q1PY94;;Uncharacterized protein;;kustd1316
Q1PYB1;;Uncharacterized protein;;kustd1317
Q1PYB0;;Uncharacterized protein;;kustd1318
Q1PYA9;;Uncharacterized protein;;kustd1319
Q1PYA8;;Uncharacterized protein;;kustd1320
Q1PYA7;;Uncharacterized protein;;kustd1321
Q1PYA6;;Uncharacterized protein;;kustd1322
Q1PYA5;;Uncharacterized protein;;kustd1323
Q1PYA4;;Uncharacterized protein;;kustd1324
Q1PYA3;;Uncharacterized protein;;kustd1325
Q1PYC0;;Uncharacterized protein;;kustd1326
Q1PYB7;;CsbD domain-containing protein;;kustd1329
Q1PYB5;fhlA;Similar to sigma 54 response regulatory protein;;kustd1331
Q1PYD0;;Y1_Tnp domain-containing protein;;kustd1335
Q1PYC9;;Uncharacterized protein;;kustd1336
Q1PYC8;fhlA;Strongly similar to sigma 54 formate hydrogen lyase transcriptional activator FlhA;;kustd1337
Q1PYC7;;Uncharacterized protein;;kustd1338
Q1PYC6;;Uncharacterized protein;;kustd1339
Q1PYC3;;Uncharacterized protein;;kustd1342
Q1PYC2;;Uncharacterized protein;;kustd1343
Q1PYE0;;Uncharacterized protein;;kustd1345
Q1PYD7;;Uncharacterized protein;;kustd1348
Q1PYD5;;Uncharacterized protein;;kustd1350
Q1PYD3;;Uncharacterized protein;;kustd1352
Q1PYF0;;HD_domain domain-containing protein;;kustd1355
Q1PYE9;surA;Peptidylprolyl isomerase (EC 5.2.1.8);;kustd1356
Q1PYE8;;Uncharacterized protein;;kustd1357
Q1PYE7;purA;Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase);;kustd1358
Q1PYE6;uppS;Isoprenyl transferase (EC 2.5.1.-);;kustd1359
Q1PYE5;cds;Similar to CDP-diglyceride synthetase (EC 2.7.7.41);;kustd1360
Q1PYE1;;TPR_REGION domain-containing protein;;kustd1364
Q1PYF9;;Uncharacterized protein;;kustd1365
Q1PYF8;folP;Strongly similar to dihydropteroate synthase (EC 2.5.1.15);;kustd1366
Q1PYF7;dacA;Diadenylate cyclase (DAC) (EC 2.7.7.85) (Cyclic-di-AMP synthase) (c-di-AMP synthase);;kustd1367
Q1PYF2;;Uncharacterized protein;;kustd1372
Q1PYF1;;Peptidase_M48 domain-containing protein;;kustd1373
Q1PYG7;;Uncharacterized protein;;kustd1376
Q1PYG5;;DDE_5 domain-containing protein;;kustd1378
Q1PYG3;cysC;Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase);;kustd1380
Q1PYG1;msrA;Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase);;kustd1382
Q1PYG0;glmS;Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase);;kustd1383
Q1PYH8;firA lpxD;UDP-3-O-acylglucosamine N-acyltransferase (EC 2.3.1.-);;kustd1384
Q1PYH7;;Uncharacterized protein;;kustd1385
Q1PYH4;fabD;Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39);;kustd1388
Q1PYH3;fabH;3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III);;kustd1389
Q1PYH0;;Uncharacterized protein;;kustd1392
Q1PYI5;gltX;Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS);;kustd1396
Q1PYI4;zraS;Similar to two component histidine kinase (EC 2.7.3.-);;kustd1397
Q1PYI3;zraR;Strongly similar to sigma 54 response regulatory protein;;kustd1398
Q1PYI2;;Similar to myohemerythrin (MHR);;kustd1399
Q1PYH9;;Uncharacterized protein;;kustd1402
Q1PYJ7;;Uncharacterized protein;;kustd1404
Q1PYJ6;gcvPB;Probable glycine dehydrogenase (decarboxylating) subunit 2 (EC 1.4.4.2) (Glycine cleavage system P-protein subunit 2) (Glycine decarboxylase subunit 2) (Glycine dehydrogenase (aminomethyl-transferring) subunit 2);;kustd1405
Q1PYJ5;;Uncharacterized protein;;kustd1406
Q1PYJ3;;Uncharacterized protein;;kustd1408
Q1PYJ2;pyc;Pyruvate carboxylase (EC 6.4.1.1);;kustd1409
Q1PYJ1;Mrr;Similar to C-terminus restriction endonuclease Mrr (EC 3.1.21.3);;kustd1410
Q1PYJ0;Mrr;Similar to C-terminus restriction endonuclease Mrr (EC 3.1.21.3);;kustd1411
Q1PYK7;cobA;Similar to cob(I)yrinic acid a,c-diamide adenosyltransferase (EC 2.5.1.17);;kustd1414
Q1PYK6;thyX;Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase);;kustd1415
Q1PYK5;;Uncharacterized protein;;kustd1416
Q1PYK4;;Uncharacterized protein;;kustd1417
Q1PYJ9;atoS;Similar to histidine kinase protein (EC 2.7.3.-);;kustd1422
Q1PYL7;;TPR_REGION domain-containing protein;;kustd1423
Q1PYL6;;Uncharacterized protein;;kustd1424
Q1PYL5;;Uncharacterized protein;;kustd1425
Q1PYL3;;Uncharacterized protein;;kustd1427
Q1PYL2;;TPR_REGION domain-containing protein;;kustd1428
Q1PYM6;;Uncharacterized protein;;kustd1434
Q1PYM5;;Uncharacterized protein;;kustd1435
Q1PYM4;;Uncharacterized protein;;kustd1436
Q1PYM3;;Uncharacterized protein;;kustd1437
Q1PYM2;;Uncharacterized protein;;kustd1438
Q1PYM1;;Uncharacterized protein;;kustd1439
Q1PYL9;;Uncharacterized protein;;kustd1441
Q1PYN9;;Uncharacterized protein;;kustd1443
Q1PYN8;;Uncharacterized protein;;kustd1444
Q1PYN6;;Uncharacterized protein;;kustd1446
Q1PYN5;;Uncharacterized protein;;kustd1447
Q1PYN4;;TPR_REGION domain-containing protein;;kustd1448
Q1PYN3;;Uncharacterized protein;;kustd1449
Q1PYN0;;Uncharacterized protein;;kustd1452
Q1PYQ0;;Uncharacterized protein;;kustd1454
Q1PYP9;;Uncharacterized protein;;kustd1455
Q1PYP8;;Uncharacterized protein;;kustd1456
Q1PYP6;;Uncharacterized protein;;kustd1458
Q1PYP5;greA;Transcription elongation factor GreA (Transcript cleavage factor GreA);;kustd1459
Q1PYP4;;Uncharacterized protein;;kustd1460
Q1PYP3;;Uncharacterized protein;;kustd1461
Q1PYP2;;Uncharacterized protein;;kustd1462
Q1PYP1;;Uncharacterized protein;;kustd1463
Q1PYR0;;FHA domain-containing protein;;kustd1466
Q1PYQ9;;Reelin domain-containing protein;;kustd1467
Q1PYQ8;;Uncharacterized protein;;kustd1468
Q1PYQ7;;Uncharacterized protein;;kustd1469
Q1PYQ5;;Uncharacterized protein;;kustd1471
Q1PYQ3;;Uncharacterized protein;;kustd1473
Q1PYS2;;Uncharacterized protein;;kustd1476
Q1PYS1;;Uncharacterized protein;;kustd1477
Q1PYR6;;Uncharacterized protein;;kustd1482
Q1PYR3;;Hypothetical cytochrome c protein;;kustd1485
Q1PYR2;;Uncharacterized protein;;kustd1486
Q1PYT3;;TPR_REGION domain-containing protein;;kustd1487
Q1PYT1;;Uncharacterized protein;;kustd1489
Q1PYS9;;Uncharacterized protein;;kustd1491
Q1PYS8;proA;Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase);;kustd1492
Q1PYS6;;TPR_REGION domain-containing protein;;kustd1494
Q1PYS5;;Uncharacterized protein;;kustd1495
Q1PYS4;;Uncharacterized protein;;kustd1496
Q1PYU2;;Uncharacterized protein;;kustd1498
Q1PYU1;;Uncharacterized protein;;kustd1499
Q1PYT8;;Uncharacterized protein;;kustd1501 kustd1502
Q1PYT7;;Uncharacterized protein;;kustd1503
Q1PYT6;;Uncharacterized protein;;kustd1504
Q1PYT5;;Predicted orf;;kustd1505
Q1PYT4;murI;Glutamate racemase (EC 5.1.1.3);;kustd1506
Q1PYV1;;TPR_REGION domain-containing protein;;kustd1507
Q1PYU7;phoU;Strongly similar to phosphate transport system protein PhoU;;kustd1511
Q1PYU6;;Uncharacterized protein;;kustd1512
Q1PYU4;;Uncharacterized protein;;kustd1514
Q1PYU3;;Uncharacterized protein;;kustd1515
Q1PYW2;;Uncharacterized protein;;kustd1516
Q1PYW1;;Y1_Tnp domain-containing protein;;kustd1517
Q1PYW0;;Uncharacterized protein;;kustd1518
Q1PYV9;;Uncharacterized protein;;kustd1519
Q1PYV8;;Uncharacterized protein;;kustd1520
Q1PYV7;;Conserved hypotheical protein;;kustd1521
Q1PYV6;;Uncharacterized protein;;kustd1522
Q1PYV5;;Uncharacterized protein;;kustd1523
Q1PYV4;;Uncharacterized protein;;kustd1524
Q1PYV3;;Uncharacterized protein;;kustd1525
Q1PYV2;;Uncharacterized protein;;kustd1526
Q1PYX0;;Uncharacterized protein;;kustd1527
Q1PYW7;;TPR_REGION domain-containing protein;;kustd1530
Q1PYW6;;Uncharacterized protein;;kustd1531
Q1PYW5;;Uncharacterized protein;;kustd1532
Q1PYW3;;Uncharacterized protein;;kustd1534
Q1PYX9;;Uncharacterized protein;;kustd1536
Q1PYX3;acsC;Similar to large subunit corrinoid FeS protein of CODH/ACS complex (AscC);;kustd1542
Q1PYX2;;Uncharacterized protein;;kustd1543
Q1PYY7;cooC;Similar to nickel insertase (CooC) of CODH/ACS complex;;kustd1547
Q1PYY6;;Uncharacterized protein;;kustd1548
Q1PYY3;nuoF;Similar to nuoF subunit of the NADH:ubiquinone oxidoreductase (EC 1.6.5.3);;kustd1551
Q1PYY2;nuoE;Similar to nuoE subunit of the NADH:ubiquinone oxidoreductase (EC 1.6.5.3);;kustd1552
Q1PYY1;;Uncharacterized protein;;kustd1553
Q1PYZ9;;Uncharacterized protein;;kustd1554
Q1PYZ8;;Uncharacterized protein;;kustd1555
Q1PYZ5;;Uncharacterized protein;;kustd1558
Q1PYZ3;;VWFA domain-containing protein;;kustd1560
Q1PYZ2;;PINc domain-containing protein;;kustd1561
Q1PYZ1;;Uncharacterized protein;;kustd1562
Q1PYZ0;;TPR_REGION domain-containing protein;;kustd1563
Q1PZ07;;Glyco_trans_2-like domain-containing protein;;kustd1564
Q1PZ05;;Uncharacterized protein;;kustd1566
Q1PZ04;;Uncharacterized protein;;kustd1567
Q1PZ01;;Uncharacterized protein;;kustd1570
Q1PZ00;;Peptidase S55 domain-containing protein;;kustd1571
Q1PZ16;RpiB;Strongly similar to ribose 5-phosphate isomerase B, also acts on allose (Allose 6-phosphate isomerase) (EC 5.3.1.6);;kustd1573
Q1PZ13;;Uncharacterized protein;;kustd1576
Q1PZ12;;Uncharacterized protein;;kustd1577
Q1PZ11;;Protein-glutamate methylesterase (EC 3.1.1.61);;kustd1578
Q1PZ10;;Uncharacterized protein;;kustd1579
Q1PZ09;AtoS;Histidine kinase (EC 2.7.13.3);;kustd1580
Q1PZ08;;Uncharacterized protein;;kustd1581
Q1PZ25;AroK;Similar to shikimate kinase (EC 2.7.1.71);;kustd1583
Q1PZ23;;Uncharacterized protein;;kustd1585
Q1PZ22;;Polbeta domain-containing protein;;kustd1586
Q1PZ21;;Uncharacterized protein;;kustd1587
Q1PZ20;;Uncharacterized protein;;kustd1588
Q1PZ19;;Uncharacterized protein;;kustd1589
Q1PZ18;AarC IspG ispG;4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase);;kustd1590
Q1PZ35;;Uncharacterized protein;;kustd1592
Q1PZ34;;Uncharacterized protein;;kustd1593
Q1PZ33;;Uncharacterized protein;;kustd1594
Q1PZ32;;Uncharacterized protein;;kustd1595
Q1PZ30;;Uncharacterized protein;;kustd1597
Q1PZ29;;Uncharacterized protein;;kustd1598
Q1PZ28;;Uncharacterized protein;;kustd1599
Q1PZ45;;Uncharacterized protein;;kustd1602
Q1PZ39;;Uncharacterized protein;;kustd1608
Q1PZ51;;Uncharacterized protein;;kustd1616
Q1PZ50;;Uncharacterized protein;;kustd1617
Q1PZ49;;Uncharacterized protein;;kustd1618
Q1PZ65;;Uncharacterized protein;;kustd1622
Q1PZ61;;bPH_2 domain-containing protein;;kustd1626
Q1PZ60;;Uncharacterized protein;;kustd1627
Q1PZ58;;Uncharacterized protein;;kustd1629
Q1PZ57;;DUF3656 domain-containing protein;;kustd1630
Q1PZ75;;Uncharacterized protein;;kustd1632
Q1PZ70;;Uncharacterized protein;;kustd1637
Q1PZ69;arcB;Similar to histidine kinase protein;;kustd1638
Q1PZ84;;Uncharacterized protein;;kustd1641
Q1PZ81;;Uncharacterized protein;;kustd1644
Q1PZ77;;Uncharacterized protein;;kustd1648
Q1PZ94;;Uncharacterized protein;;kustd1649
Q1PZ92;Yi5B;Similar to IS150 transposase;;kustd1651
Q1PZ91;;Uncharacterized protein;;kustd1652
Q1PZ88;;Uncharacterized protein;;kustd1655
Q1PZ85;;DDE_Tnp_1 domain-containing protein;;kustd1658
Q1PZA4;;Uncharacterized protein;;kustd1659
Q1PZA3;;Uncharacterized protein;;kustd1660
Q1PZA0;;Uncharacterized protein;;kustd1663
Q1PZ99;;Uncharacterized protein;;kustd1664
Q1PZ95;;Uncharacterized protein;;kustd1668
Q1PZB3;;Uncharacterized protein;;kustd1670
Q1PZC0;;Conserved hypothetical signal transduction protein;;kustd1682
Q1PZB7;;Uncharacterized protein;;kustd1685
Q1PZC9;ilvB;Acetolactate synthase (EC 2.2.1.6);;kustd1691
Q1PZC5;;Uncharacterized protein;;kustd1695
Q1PZE1;glyA;Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1);;kustd1697
Q1PZD9;;Uncharacterized protein;;kustd1699
Q1PZD6;;Uncharacterized protein;;kustd1702
Q1PZD3;c556;Conserved hypothetical (Monoheme) protein;;kustd1705
Q1PZE8;;Hypothetical (Diheme) protein;;kustd1709
Q1PZE4;;Uncharacterized protein;;kustd1713
Q1PZE2;;Uncharacterized protein;;kustd1715
Q1PZF8;;Uncharacterized protein;;kustd1718
Q1PZF7;;Uncharacterized protein;;kustd1719
Q1PZF3;;Uncharacterized protein;;kustd1723
Q1PZG1;YidC yidC;Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC);;kustd1734
Q1PZH9;;Segregation and condensation protein A;;kustd1736
Q1PZH7;;Uncharacterized protein;;kustd1738
Q1PZH4;pepF;Similar to oligopeptidase PepF;;kustd1741
Q1PZI8;Cmo;Similar to cofactor modifying protein;;kustd1746
Q1PZI6;gyrA;DNA gyrase subunit A (EC 5.6.2.2);;kustd1748
Q1PZI2;copA;Similar to multimodular CopA (P-type ATPase);;kustd1752
Q1PZI1;ArsB;Similar to ArsB protein;;kustd1753
Q1PZJ9;;Uncharacterized protein;;kustd1754
Q1PZJ8;OleB;Similar to ATP-binding protein, ABC transporter;;kustd1755
Q1PZJ7;;Uncharacterized protein;;kustd1756
Q1PZJ6;IleS ileS;Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS);;kustd1757
Q1PZJ4;acyp2;Acylphosphatase (EC 3.6.1.7);;kustd1759
Q1PZJ1;;Uncharacterized protein;;kustd1762
Q1PZK8;;Uncharacterized protein;;kustd1765
Q1PZK6;PurB;Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase);;kustd1767
Q1PZK5;;Uncharacterized protein;;kustd1768
Q1PZK1;;Uncharacterized protein;;kustd1772
Q1PZL4;hycE;Similar to membrane-bound [NiFe]-hydrogenase-3, large subunit (Chain E);;kustd1778
Q1PZL3;hycG;Strongly similar to membrane-bound [NiFe]-hydrogenase-3, small subunit (Chain G);;kustd1779
Q1PZL2;;Uncharacterized protein;;kustd1780
Q1PZM6;;DDE_Tnp_ISL3 domain-containing protein;;kustd1784
Q1PZM4;;Uncharacterized protein;;kustd1786
Q1PZM1;dnaE;DNA polymerase III subunit alpha (EC 2.7.7.7);;kustd1789
Q1PZM0;GlyQ glyQ;Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS);;kustd1790
Q1PZL9;;Uncharacterized protein;;kustd1791
Q1PZN6;;DUF4352 domain-containing protein;;kustd1792
Q1PZN5;;Uncharacterized protein;;kustd1793
Q1PZN4;;Uncharacterized protein;;kustd1794
Q1PZN3;HtpG htpG;Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G);;kustd1795
Q1PZN2;;Uncharacterized protein;;kustd1796
Q1PZN1;xerC;Tyrosine recombinase XerC;;kustd1797
Q1PZN0;;Uncharacterized protein;;kustd1798
Q1PZM9;pabB;Similar to p-aminobenzoate synthetase, component I;;kustd1799
Q1PZM8;ilvE;Similar to branched-chain amino-acid aminotransferase;;kustd1800
Q1PZP5;;Uncharacterized protein;;kustd1801
Q1PZP3;;Universal stress protein;;kustd1803
Q1PZP1;;Uncharacterized protein;;kustd1805
Q1PZP0;;Uncharacterized protein;;kustd1806
Q1PZN9;;Uncharacterized protein;;kustd1807
Q1PZN8;;Uncharacterized protein;;kustd1808
Q1PZN7;;Uncharacterized protein;;kustd1809
Q1PZQ4;;Uncharacterized protein;;kustd1810
Q1PZQ3;;Uncharacterized protein;;kustd1811
Q1PZQ2;;Uncharacterized protein;;kustd1812
Q1PZQ1;;Uncharacterized protein;;kustd1813
Q1PZQ0;;Uncharacterized protein;;kustd1814
Q1PZP9;;Uncharacterized protein;;kustd1815
Q1PZP8;;Uncharacterized protein;;kustd1816
Q1PZP7;;Uncharacterized protein;;kustd1817
Q1PZR4;;Putative nickel insertion protein;;kustd1819
Q1PZR3;;TPR_REGION domain-containing protein;;kustd1820
Q1PZR2;;Uncharacterized protein;;kustd1821
Q1PZQ9;;Uncharacterized protein;;kustd1824
Q1PZQ7;MexF;Strongly similar to RND multidrug efflux transporter MexF;;kustd1826
Q1PZQ6;NuoF;Similar to NADH dehydrogenase I chain F (1st module) EC: 1.6.5.3;;kustd1827
Q1PZS2;;Uncharacterized protein;;kustd1830
Q1PZS0;;Uncharacterized protein;;kustd1832
Q1PZR5;;Uncharacterized protein;;kustd1837
Q1PZS9;speA;Similar to pyruvoyl-dependent arginine decarboxylase (EC 4.1.1.19);;kustd1842
Q1PZS7;;Uncharacterized protein;;kustd1844
Q1PZU2;;Uncharacterized protein;;kustd1849
Q1PZU1;;Uncharacterized protein;;kustd1850
Q1PZU0;;Conserved hypthetical protein;;kustd1851
Q1PZT9;;Uncharacterized protein;;kustd1852
Q1PZT8;;Uncharacterized protein;;kustd1853
Q1PZT7;;Uncharacterized protein;;kustd1854
Q1PZT6;;Similar to two component sensor histidine kinase;;kustd1855
Q1PZV3;;Uncharacterized protein;;kustd1858
Q1PZV2;tyrS;Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS);;kustd1859
Q1PZU4;;Similar to TonB-dependent receptor protein;;kustd1867
Q1PZW2;;Uncharacterized protein;;kustd1868
Q1PZW1;;Uncharacterized protein;;kustd1869
Q1PZV5;;Uncharacterized protein;;kustd1875
Q1PZX0;;Uncharacterized protein;;kustd1879
Q1PZW9;;Uncharacterized protein;;kustd1880
Q1PZW8;;Uncharacterized protein;;kustd1881
Q1PZW7;;Uncharacterized protein;;kustd1882
Q1PZW4;;Uncharacterized protein;;kustd1885
Q1PZY1;serA;D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95);;kustd1888
Q1PZX9;parB;Strongly similar to chromosome partitioning protein;;kustd1890
Q1PZX8;pyrG;CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase);;kustd1891
Q1PZZ2;mreC;Similar to rod shape-determining protein;;kustd1897
Q1PZZ0;cutE lnt;Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.269);;kustd1899
Q1PZY8;;Uncharacterized protein;;kustd1901
Q1PZY7;;Uncharacterized protein;;kustd1902
Q1PZY3;;Similar to NADH oxidase;;kustd1906
Q1Q001;;Uncharacterized protein;;kustd1908
Q1Q000;;Fibronectin type-III domain-containing protein;;kustd1909
Q1PZZ9;;Uncharacterized protein;;kustd1910
Q1PZZ8;;Uncharacterized protein;;kustd1911
Q1PZZ7;;Uncharacterized protein;;kustd1912
Q1PZZ5;;Uncharacterized protein;;kustd1914
Q1PZZ4;;Uncharacterized protein;;kustd1915
Q1PZZ3;;Uncharacterized protein;;kustd1916
Q1Q011;;Uncharacterized protein;;kustd1917
Q1Q010;;Uncharacterized protein;;kustd1918
Q1Q009;;Uncharacterized protein;;kustd1919
Q1Q006;ACRB;Similar to multicomponent efflux pump (Cytoplasmic membrane subunit, RND type ABC transporters);;kustd1922
Q1Q005;nolF;Similar to multicomponent efflux pump (Periplasmic accessory protein subunit, RND type ABC transporters);;kustd1923
Q1Q004;;Uncharacterized protein;;kustd1924
Q1Q003;;Uncharacterized protein;;kustd1925
Q1Q020;PPlase;Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8);;kustd1926
Q1Q019;;Uncharacterized protein;;kustd1927
Q1Q018;XDHC;Similar to XDHC/COXF-like molybdopterin cofactor insertase;;kustd1928
Q1Q017;BPHG;Similar to NADH oxidase (EC 1.18.1.3);;kustd1929
Q1Q015;;Uncharacterized protein;;kustd1931
Q1Q014;;Similar to NAD(P)H dependent FMN reductase (EC 1.5.1.29);;kustd1932
Q1Q026;;Uncharacterized protein;;kustd1938
